"blockNum","color","hit","initrt","intervalLength","intervalNum","intervalType","moneyEarned","phase","platform","question","rating","response","rt","sessionNum","stimOn","trialNum","type","uniqueid","word"
2,"blue",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"blue",750,0,1606145992377,2,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
2,"red",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"red",598,0,1606145993129,3,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
2,"blue",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"blue",678,0,1606145993729,4,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
2,"yellow",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"yellow",654,0,1606145994409,5,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
2,"red",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"red",766,0,1606145995065,6,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
2,"yellow",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"yellow",494,0,1606145995833,7,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
2,"blue",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"blue",894,0,1606145996329,8,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
2,"yellow",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"yellow",590,0,1606145997225,9,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
2,"red",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"red",710,0,1606145997817,10,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
2,"",NA,NA,8000,1,"easy",0.02,"MainBlock","PROLIFIC",1,5.9,"",NA,0,NA,NA,"","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122",""
2,"yellow",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"yellow",721,0,1606146006301,1,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
2,"blue",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"blue",582,0,1606146007024,2,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
2,"green",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"green",445,0,1606146007609,3,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
2,"red",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"red",726,0,1606146008056,4,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
2,"yellow",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"yellow",637,0,1606146008785,5,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
2,"red",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"red",1525,0,1606146009425,6,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
2,"green",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"green",581,0,1606146010953,7,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
2,"blue",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"blue",605,0,1606146011537,8,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
2,"red",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"red",902,0,1606146012145,9,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
2,"blue",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"blue",685,0,1606146013049,10,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
2,"",NA,NA,8000,2,"easy",0.02,"MainBlock","PROLIFIC",1,6.1,"",NA,0,NA,NA,"","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122",""
3,"yellow",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",846,0,1606146024008,1,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
3,"blue",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",510,0,1606146024856,2,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
3,"red",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",518,0,1606146025368,3,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
3,"blue",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",606,0,1606146025888,4,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
3,"yellow",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",702,0,1606146026496,5,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
3,"blue",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",671,0,1606146027200,6,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
3,"yellow",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",509,0,1606146027873,7,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
3,"green",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",590,0,1606146028384,8,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
3,"blue",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",494,0,1606146028976,9,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
3,"green",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",686,0,1606146029472,10,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
3,"blue",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",653,0,1606146030161,11,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
3,"red",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",662,0,1606146030816,12,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
3,"",NA,NA,8000,1,"hard",0.024,"MainBlock","PROLIFIC",1,7.3,"",NA,0,NA,NA,"","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122",""
3,"red",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",839,0,1606146039199,1,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
3,"yellow",0,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",958,0,1606146040040,2,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
3,"green",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",838,0,1606146041000,3,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
3,"red",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",558,0,1606146041840,4,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
3,"yellow",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",646,0,1606146042400,5,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
3,"green",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",438,0,1606146043048,6,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
3,"red",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",526,0,1606146043488,7,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
3,"yellow",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",574,0,1606146044016,8,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
3,"red",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",574,0,1606146044592,9,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
3,"green",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",582,0,1606146045168,10,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
3,"blue",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",526,0,1606146045752,11,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
3,"red",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",670,0,1606146046280,12,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
3,"",NA,NA,8000,2,"hard",0.022,"MainBlock","PROLIFIC",0,6.2,"",NA,0,NA,NA,"","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122",""
4,"yellow",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"yellow",1533,0,1606146056745,1,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
4,"red",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"red",718,0,1606146058280,2,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
4,"green",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"green",542,0,1606146059000,3,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
4,"blue",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"blue",479,0,1606146059543,4,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
4,"red",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"red",726,0,1606146060024,5,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
4,"green",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"green",862,0,1606146060752,6,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
4,"yellow",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"yellow",582,0,1606146061616,7,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
4,"green",0,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"red",646,0,1606146062200,8,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
4,"red",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"red",1238,0,1606146062848,9,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
4,"blue",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"blue",574,0,1606146064088,10,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
4,"",NA,NA,8000,1,"easy",0.018,"MainBlock","PROLIFIC",1,4.4,"",NA,0,NA,NA,"","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122",""
4,"green",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"green",520,0,1606146076502,1,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
4,"yellow",0,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"red",613,0,1606146077024,2,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
4,"blue",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"blue",678,0,1606146077639,3,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
4,"green",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"green",886,0,1606146078319,4,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
4,"yellow",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"yellow",758,0,1606146079207,5,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
4,"green",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"green",406,0,1606146079967,6,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
4,"red",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"red",645,0,1606146080376,7,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
4,"green",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"green",598,0,1606146081023,8,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
4,"blue",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"blue",439,0,1606146081623,9,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
4,"green",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"green",589,0,1606146082064,10,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
4,"red",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"red",518,0,1606146082655,11,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
4,"green",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"green",566,0,1606146083175,12,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
4,"yellow",1,NA,8000,2,"easy",0,"MainBlock","PROLIFIC",NA,NA,"yellow",478,0,1606146083743,13,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
4,"",NA,NA,8000,2,"easy",0.024,"MainBlock","PROLIFIC",0,6.1,"",NA,0,NA,NA,"","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122",""
1,"red",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",671,0,1606161756199,1,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","RED"
1,"yellow",0,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",680,0,1606161756873,2,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","BLUE"
1,"green",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",845,0,1606161757556,3,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","GREEN"
1,"blue",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",485,0,1606161758404,4,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","RED"
1,"green",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",805,0,1606161758892,5,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","BLUE"
1,"red",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",554,0,1606161759703,6,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","RED"
1,"blue",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",789,0,1606161760260,7,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","BLUE"
1,"red",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",877,0,1606161761052,8,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","YELLOW"
1,"yellow",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",581,0,1606161761932,9,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","BLUE"
1,"green",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",516,0,1606161762517,10,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","GREEN"
1,"blue",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",376,0,1606161763037,11,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","BLUE"
1,"red",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",628,0,1606161763417,12,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","GREEN"
1,"",NA,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",1,2.4,"",NA,0,NA,NA,"","5e651a304eb006294c9164ea:TSS-Stress_20201122",""
1,"blue",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",603,0,1606161772910,1,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","BLUE"
1,"yellow",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",721,0,1606161773516,2,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","GREEN"
